SIZE(M=N=K)	HIP	KOKKOS-HIP	Julia-AMDGPU.jl
1024	6.51E+02	6.49E+02	5.77E+02
2048	6.38E+02	6.06E+02	6.10E+02
3072	6.30E+02	5.55E+02	5.92E+02
4096	6.24E+02	5.38E+02	5.77E+02
5120	6.19E+02	5.32E+02	5.66E+02
6144	6.15E+02	5.28E+02	5.57E+02
7168	6.13E+02	5.24E+02	5.50E+02
8192	6.11E+02	5.21E+02	5.31E+02
9216	6.07E+02	5.17E+02	5.42E+02
10240	6.03E+02	5.14E+02	5.38E+02
11264	5.98E+02	5.10E+02	5.34E+02
12288	5.94E+02	5.07E+02	5.32E+02
13312	5.88E+02	5.03E+02	5.29E+02
14336	5.84E+02	5.00E+02	5.28E+02
15360	5.79E+02	4.96E+02	5.25E+02
16384	5.78E+02	4.93E+02	5.14E+02
17408	5.68E+02	4.90E+02	5.19E+02
18432	5.63E+02	4.86E+02	5.16E+02
19456	5.59E+02	4.80E+02	5.13E+02